"stem","occurrences","frequency","weight"
"a",23195,0.023171,0.000000
"aa",1,0.000001,0.999002
"aaa",1,0.000001,0.999002
"aaa-e",1,0.000001,0.999002
"aaawww",1,0.000001,0.999002
"aab/",2,0.000002,0.998004
"aah",1,0.000001,0.999002
"aaron",7,0.000007,0.993032
"ab",3,0.000003,0.997008
"ab1,040",1,0.000001,0.999002
"ab4,500",1,0.000001,0.999002
"ab63711-r",1,0.000001,0.999002
"aback",2,0.000002,0.998004
"abandon",59,0.000059,0.942764
"abaring",1,0.000001,0.999002
"abas",2,0.000002,0.998004
"abat",1,0.000001,0.999002
"abatuno",1,0.000001,0.999002
"abb",3,0.000003,0.997008
"abba",2,0.000002,0.998004
"abbas'",1,0.000001,0.999002
"abbe-direct",1,0.000001,0.999002
"abbe-scotch",1,0.000001,0.999002
"abber",1,0.000001,0.999002
"abbey",7,0.000007,0.993032
"abbot",2,0.000002,0.998004
"abbott",2,0.000002,0.998004
"abbrevi",3,0.000003,0.997008
"abc",2,0.000002,0.998004
"abdallah",1,0.000001,0.999002
"abdomen",6,0.000006,0.994024
"abdomin",4,0.000004,0.996012
"abdomini",1,0.000001,0.999002
"abduct",1,0.000001,0.999002
"abe",4,0.000004,0.996012
"abel",21,0.000021,0.979240
"abel'",1,0.000001,0.999002
"abelson",1,0.000001,0.999002
"aber",1,0.000001,0.999002
"abernathi",3,0.000003,0.997008
"aberr",13,0.000013,0.987097
"abet",4,0.000004,0.996012
"abey",3,0.000003,0.997008
"abhor",1,0.000001,0.999002
"abhorr",1,0.000001,0.999002
"abid",14,0.000014,0.986112
"abigail",2,0.000002,0.998004
"abil",87,0.000087,0.916759
"abilen",2,0.000002,0.998004
"abject",4,0.000004,0.996012
"abjectli",1,0.000001,0.999002
"abl",216,0.000216,0.805915
"ablard",2,0.000002,0.998004
"ablat",3,0.000003,0.997008
"ablaz",3,0.000003,0.997008
"abler",2,0.000002,0.998004
"abli",2,0.000002,0.998004
"abner",1,0.000001,0.999002
"abnorm",5,0.000005,0.995018
"abo",5,0.000005,0.995018
"aboard",25,0.000025,0.975335
"abod",4,0.000004,0.996012
"abolish",10,0.000010,0.990060
"abolit",10,0.000010,0.990060
"abolitionist",5,0.000005,0.995018
"aborigin",16,0.000016,0.984144
"abort",10,0.000010,0.990060
"abound",5,0.000005,0.995018
"about",1815,0.001813,0.163143
"about-fac",2,0.000002,0.998004
"abov",296,0.000296,0.744014
"above-ground",1,0.000001,0.999002
"above-ment",2,0.000002,0.998004
"above-not",1,0.000001,0.999002
"above-wat",1,0.000001,0.999002
"aboveground",2,0.000002,0.998004
"abra",1,0.000001,0.999002
"abraham",6,0.000006,0.994024
"abram",1,0.000001,0.999002
"abrasion-resist",1,0.000001,0.999002
"abreact",2,0.000002,0.998004
"abreast",5,0.000005,0.995018
"abridg",2,0.000002,0.998004
"abroad",52,0.000052,0.949380
"abrog",1,0.000001,0.999002
"abrupt",19,0.000019,0.981199
"abruptli",18,0.000018,0.982179
"abscess",3,0.000003,0.997008
"abscissa",1,0.000001,0.999002
"absenc",56,0.000056,0.945594
"absent",35,0.000035,0.965640
"absent-mind",3,0.000003,0.997008
"absent-mindedli",3,0.000003,0.997008
"absente",2,0.000002,0.998004
"absentia",1,0.000001,0.999002
"absentmindedli",1,0.000001,0.999002
"absinth",1,0.000001,0.999002
"absolut",64,0.000064,0.938067
"absorb",43,0.000043,0.957954
"absorpt",15,0.000015,0.985127
"abstain",2,0.000002,0.998004
"abstent",5,0.000005,0.995018
"abstin",1,0.000001,0.999002
"abstract",68,0.000068,0.934326
"abstracted",1,0.000001,0.999002
"abstraction",1,0.000001,0.999002
"abstractionist",3,0.000003,0.997008
"abstractli",1,0.000001,0.999002
"abstractor",1,0.000001,0.999002
"abstrus",1,0.000001,0.999002
"absurd",27,0.000027,0.973388
"absurdli",1,0.000001,0.999002
"abund",22,0.000022,0.978262
"abundantli",2,0.000002,0.998004
"abus",31,0.000031,0.969507
"abut",1,0.000001,0.999002
"abysm",2,0.000002,0.998004
"abyss",4,0.000004,0.996012
"abyssinian",1,0.000001,0.999002
"ac",1,0.000001,0.999002
"acacia",3,0.000003,0.997008
"academ",63,0.000063,0.939004
"academeh",1,0.000001,0.999002
"academi",27,0.000027,0.973388
"academicianship",1,0.000001,0.999002
"acadia",1,0.000001,0.999002
"acala",5,0.000005,0.995018
"acapulco",1,0.000001,0.999002
"accacia",4,0.000004,0.996012
"accademia",1,0.000001,0.999002
"accardo",1,0.000001,0.999002
"acced",2,0.000002,0.998004
"acceler",51,0.000051,0.950329
"acceleromet",25,0.000025,0.975335
"accent",18,0.000018,0.982179
"accentu",6,0.000006,0.994024
"accept",267,0.000267,0.765884
"access",33,0.000033,0.967571
"accessori",8,0.000008,0.992040
"accid",41,0.000041,0.959870
"accident",15,0.000015,0.985127
"accidental-war",1,0.000001,0.999002
"acclaim",9,0.000009,0.991050
"acclam",1,0.000001,0.999002
"acclimat",1,0.000001,0.999002
"accolad",3,0.000003,0.997008
"accommod",28,0.000028,0.972416
"accomod",1,0.000001,0.999002
"accompani",74,0.000074,0.928742
"accompanist",2,0.000002,0.998004
"accomplic",3,0.000003,0.997008
"accomplish",89,0.000089,0.914929
"accord",174,0.000174,0.840448
"accordingli",31,0.000031,0.969507
"accordion",1,0.000001,0.999002
"accost",3,0.000003,0.997008
"account",180,0.000180,0.835425
"accouter",1,0.000001,0.999002
"accredit",9,0.000009,0.991050
"accret",5,0.000005,0.995018
"accru",11,0.000011,0.989071
"accultur",2,0.000002,0.998004
"accumul",29,0.000029,0.971445
"accur",59,0.000059,0.942764
"accuraci",36,0.000036,0.964676
"accus",51,0.000051,0.950329
"accusingli",2,0.000002,0.998004
"accustom",15,0.000015,0.985127
"ace",19,0.000019,0.981199
"acet",7,0.000007,0.993032
"aceton",4,0.000004,0.996012
"acetonemia",3,0.000003,0.997008
"acey",3,0.000003,0.997008
"ach",14,0.000014,0.986112
"achaean",1,0.000001,0.999002
"achaeans'",1,0.000001,0.999002
"acheson",2,0.000002,0.998004
"acheson'",1,0.000001,0.999002
"achiev",217,0.000217,0.805110
"achil",1,0.000001,0.999002
"acid",21,0.000021,0.979240
"acid-fast",1,0.000001,0.999002
"acidul",1,0.000001,0.999002
"ackerli",1,0.000001,0.999002
"acknowledg",32,0.000032,0.968539
"acolyt",1,0.000001,0.999002
"acont",1,0.000001,0.999002
"acorn",1,0.000001,0.999002
"acours",1,0.000001,0.999002
"acoust",6,0.000006,0.994024
"acquaint",24,0.000024,0.976310
"acquies",1,0.000001,0.999002
"acquiesc",9,0.000009,0.991050
"acquir",66,0.000066,0.936195
"acquisit",20,0.000020,0.980219
"acquit",2,0.000002,0.998004
"acquitt",2,0.000002,0.998004
"acr",54,0.000054,0.947485
"acre-feet",1,0.000001,0.999002
"acreag",11,0.000011,0.989071
"acrid",1,0.000001,0.999002
"acrobaci",1,0.000001,0.999002
"acrobat",4,0.000004,0.996012
"acropoli",6,0.000006,0.994024
"across",282,0.000282,0.754493
"across-the-board",1,0.000001,0.999002
"acryl",11,0.000011,0.989071
"act",401,0.000401,0.669927
"acth",1,0.000001,0.999002
"acting-presid",1,0.000001,0.999002
"actinomet",1,0.000001,0.999002
"action",359,0.000359,0.698633
"action-ori",1,0.000001,0.999002
"action-pack",1,0.000001,0.999002
"activ",356,0.000356,0.700730
"actor",39,0.000039,0.961789
"actor'",1,0.000001,0.999002
"actor-croon",1,0.000001,0.999002
"actress",9,0.000009,0.991050
"actual",275,0.000275,0.759787
"actuari",2,0.000002,0.998004
"actuat",3,0.000003,0.997008
"acumen",1,0.000001,0.999002
"acut",18,0.000018,0.982179
"ad",216,0.000216,0.805915
"ad-lib",1,0.000001,0.999002
"ada",17,0.000017,0.983161
"ada'",4,0.000004,0.996012
"adag",3,0.000003,0.997008
"adagio",4,0.000004,0.996012
"adair",2,0.000002,0.998004
"adair'",1,0.000001,0.999002
"adam",92,0.000092,0.912192
"adam'",2,0.000002,0.998004
"adamantli",1,0.000001,0.999002
"adamo",1,0.000001,0.999002
"adams'",4,0.000004,0.996012
"adamson",1,0.000001,0.999002
"adapt",43,0.000043,0.957954
"adaptaplex",1,0.000001,0.999002
"adc",8,0.000008,0.992040
"adcock",1,0.000001,0.999002
"add",98,0.000098,0.906740
"add-on",1,0.000001,0.999002
"addabbo",2,0.000002,0.998004
"addict",11,0.000011,0.989071
"addison",1,0.000001,0.999002
"addit",283,0.000283,0.753739
"addle-brain",1,0.000001,0.999002
"address",126,0.000126,0.881729
"addresse",1,0.000001,0.999002
"adduc",1,0.000001,0.999002
"ade",1,0.000001,0.999002
"adel",2,0.000002,0.998004
"adelia",5,0.000005,0.995018
"adelo",1,0.000001,0.999002
"adenau",4,0.000004,0.996012
"adenauer'",1,0.000001,0.999002
"adenoma",1,0.000001,0.999002
"adept",4,0.000004,0.996012
"adequ",82,0.000082,0.921350
"adequaci",3,0.000003,0.997008
"aderhold",1,0.000001,0.999002
"adher",26,0.000026,0.974361
"adhes",10,0.000010,0.990060
"adieu",1,0.000001,0.999002
"adio",6,0.000006,0.994024
"adios-direct",1,0.000001,0.999002
"adios-on",1,0.000001,0.999002
"adios-rena",1,0.000001,0.999002
"adios-trust",1,0.000001,0.999002
"adip",1,0.000001,0.999002
"adirondack",3,0.000003,0.997008
"adjac",12,0.000012,0.988084
"adject",6,0.000006,0.994024
"adjectiv",3,0.000003,0.997008
"adjoin",17,0.000017,0.983161
"adjourn",8,0.000008,0.992040
"adjud",5,0.000005,0.995018
"adjudg",2,0.000002,0.998004
"adjunct",7,0.000007,0.993032
"adjust",119,0.000119,0.887917
"adlai",7,0.000007,0.993032
"adler",3,0.000003,0.997008
"admassi",2,0.000002,0.998004
"admassy'",2,0.000002,0.998004
"administ",22,0.000022,0.978262
"administr",235,0.000235,0.790762
"administration'",6,0.000006,0.994024
"adminstr",1,0.000001,0.999002
"admir",64,0.000064,0.938067
"admiralti",1,0.000001,0.999002
"admiringli",1,0.000001,0.999002
"admiss",45,0.000045,0.956042
"admit",91,0.000091,0.913103
"admitt",1,0.000001,0.999002
"admittedli",3,0.000003,0.997008
"admix",1,0.000001,0.999002
"admonish",4,0.000004,0.996012
"admonit",4,0.000004,0.996012
"adnan",1,0.000001,0.999002
"ado",4,0.000004,0.996012
"adob",2,0.000002,0.998004
"adolesc",37,0.000037,0.963713
"adolescent'",3,0.000003,0.997008
"adolf",4,0.000004,0.996012
"adolphu",1,0.000001,0.999002
"adoni",1,0.000001,0.999002
"adoniram",6,0.000006,0.994024
"adopt",82,0.000082,0.921350
"ador",8,0.000008,0.992040
"adorn",3,0.000003,0.997008
"adrar",1,0.000001,0.999002
"adren",2,0.000002,0.998004
"adrian",4,0.000004,0.996012
"adrianopl",1,0.000001,0.999002
"adriat",3,0.000003,0.997008
"adrien",2,0.000002,0.998004
"adrift",1,0.000001,0.999002
"adroit",2,0.000002,0.998004
"adsorb",4,0.000004,0.996012
"adul",1,0.000001,0.999002
"adult",48,0.000048,0.953181
"adulter",4,0.000004,0.996012
"adulteri",3,0.000003,0.997008
"adulthood",3,0.000003,0.997008
"advanc",145,0.000145,0.865151
"advantag",107,0.000107,0.898625
"advent",5,0.000005,0.995018
"adventist",1,0.000001,0.999002
"adventists'",1,0.000001,0.999002
"adventiti",1,0.000001,0.999002
"adventur",35,0.000035,0.965640
"adverb",3,0.000003,0.997008
"adverbi",2,0.000002,0.998004
"advers",16,0.000016,0.984144
"adversari",8,0.000008,0.992040
"advertis",74,0.000074,0.928742
"advertising-consci",1,0.000001,0.999002
"advic",52,0.000052,0.949380
"advis",72,0.000072,0.930600
"advisedli",1,0.000001,0.999002
"advisor",6,0.000006,0.994024
"advisori",24,0.000024,0.976310
"advoc",26,0.000026,0.974361
"advocaci",3,0.000003,0.997008
"aec",2,0.000002,0.998004
"aec'",1,0.000001,0.999002
"aegean",15,0.000015,0.985127
"aegi",1,0.000001,0.999002
"aeon",1,0.000001,0.999002
"aerat",29,0.000029,0.971445
"aerial",9,0.000009,0.991050
"aerob",1,0.000001,0.999002
"aerobact",1,0.000001,0.999002
"aerodynam",1,0.000001,0.999002
"aerogen",1,0.000001,0.999002
"aeronaut",3,0.000003,0.997008
"aerosol",13,0.000013,0.987097
"aerospac",4,0.000004,0.996012
"aeschbach",1,0.000001,0.999002
"aeschbacher'",1,0.000001,0.999002
"aeschylu",4,0.000004,0.996012
"aesthet",28,0.000028,0.972416
"aeternitati",1,0.000001,0.999002
"af",996,0.000995,0.369733
"af-fold",3,0.000003,0.997008
"af-inch",1,0.000001,0.999002
"af-stag",4,0.000004,0.996012
"af-valu",1,0.000001,0.999002
"afar",2,0.000002,0.998004
"affabl",1,0.000001,0.999002
"affair",119,0.000119,0.887917
"affect",118,0.000118,0.888804
"affectingli",1,0.000001,0.999002
"affection",9,0.000009,0.991050
"affer",1,0.000001,0.999002
"affi",1,0.000001,0.999002
"affianc",1,0.000001,0.999002
"affidavit",2,0.000002,0.998004
"affili",17,0.000017,0.983161
"affin",6,0.000006,0.994024
"affirm",31,0.000031,0.969507
"affix",15,0.000015,0.985127
"afflict",10,0.000010,0.990060
"affluenc",4,0.000004,0.996012
"affluent",2,0.000002,0.998004
"afford",58,0.000058,0.943706
"affront",4,0.000004,0.996012
"afghan",4,0.000004,0.996012
"aficionado",1,0.000001,0.999002
"afield",1,0.000001,0.999002
"afir",1,0.000001,0.999002
"afl-cio",5,0.000005,0.995018
"aflam",3,0.000003,0.997008
"afloat",7,0.000007,0.993032
"afoot",1,0.000001,0.999002
"aforement",2,0.000002,0.998004
"aforesaid",2,0.000002,0.998004
"aforethought",1,0.000001,0.999002
"afraid",57,0.000057,0.944650
"afranio",1,0.000001,0.999002
"afresh",2,0.000002,0.998004
"africa",45,0.000045,0.956042
"african",32,0.000032,0.968539
"afrika",1,0.000001,0.999002
"afriqu",1,0.000001,0.999002
"afro-asian",4,0.000004,0.996012
"afro-cuban",1,0.000001,0.999002
"aft",5,0.000005,0.995018
"after",1069,0.001068,0.343730
"after-duti",1,0.000001,0.999002
"after-effect",1,0.000001,0.999002
"after-hour",1,0.000001,0.999002
"after-school",2,0.000002,0.998004
"aftermath",4,0.000004,0.996012
"afternoon",119,0.000119,0.887917
"afternoon'",3,0.000003,0.997008
"afterward",30,0.000030,0.970476
"aftuh",1,0.000001,0.999002
"again",577,0.000576,0.561914
"against",627,0.000626,0.534537
"agamemnon",2,0.000002,0.998004
"agamemnon'",1,0.000001,0.999002
"agat",1,0.000001,0.999002
"agatha",2,0.000002,0.998004
"agayn",1,0.000001,0.999002
"age",301,0.000301,0.740307
"age-and-sex",2,0.000002,0.998004
"age-old",5,0.000005,0.995018
"aged-car",1,0.000001,0.999002
"ageless",2,0.000002,0.998004
"agenc",118,0.000118,0.888804
"agenda",5,0.000005,0.995018
"agent",83,0.000083,0.920430
"agent'",1,0.000001,0.999002
"aggi",4,0.000004,0.996012
"agglomer",5,0.000005,0.995018
"agglutin",5,0.000005,0.995018
"agglutinin",8,0.000008,0.992040
"aggrav",5,0.000005,0.995018
"aggreg",10,0.000010,0.990060
"aggress",37,0.000037,0.963713
"aggressor",2,0.000002,0.998004
"aggriev",3,0.000003,0.997008
"aghast",1,0.000001,0.999002
"agil",6,0.000006,0.994024
"agin",2,0.000002,0.998004
"agit",11,0.000011,0.989071
"agleam",1,0.000001,0.999002
"agn",1,0.000001,0.999002
"agnes",6,0.000006,0.994024
"agnomen",1,0.000001,0.999002
"agnost",1,0.000001,0.999002
"ago",246,0.000246,0.782120
"agoeng",1,0.000001,0.999002
"agon",8,0.000008,0.992040
"agonal",1,0.000001,0.999002
"agoni",10,0.000010,0.990060
"agrarian",8,0.000008,0.992040
"agre",150,0.000150,0.860841
"agreeabl",13,0.000013,0.987097
"agreed-on",1,0.000001,0.999002
"agreed-upon",1,0.000001,0.999002
"agreement",121,0.000121,0.886144
"agricola",1,0.000001,0.999002
"agricultur",62,0.000062,0.939943
"agriculture'",1,0.000001,0.999002
"agrippa",1,0.000001,0.999002
"agrobacterium",1,0.000001,0.999002
"agu",1,0.000001,0.999002
"ah",22,0.000022,0.978262
"ah-ah",1,0.000001,0.999002
"ah6",1,0.000001,0.999002
"ahah",1,0.000001,0.999002
"ahead",109,0.000109,0.896831
"ahem",1,0.000001,0.999002
"ahm",1,0.000001,0.999002
"ahmad",1,0.000001,0.999002
"ahmad'",2,0.000002,0.998004
"ahmet",3,0.000003,0.997008
"ahmiri",1,0.000001,0.999002
"ahren",1,0.000001,0.999002
"ai",1,0.000001,0.999002
"aia",10,0.000010,0.990060
"aich",1,0.000001,0.999002
"aid",192,0.000192,0.825470
"aid'",1,0.000001,0.999002
"aid-to-educ",1,0.000001,0.999002
"aida",1,0.000001,0.999002
"aide-de-camp",1,0.000001,0.999002
"aiee",1,0.000001,0.999002
"aiken",1,0.000001,0.999002
"aikin",1,0.000001,0.999002
"ail",2,0.000002,0.998004
"aileron",1,0.000001,0.999002
"ailey",2,0.000002,0.998004
"ailey'",2,0.000002,0.998004
"ailment",10,0.000010,0.990060
"aim",82,0.000082,0.921350
"aimless",5,0.000005,0.995018
"aimlessli",1,0.000001,0.999002
"aimo",5,0.000005,0.995018
"ain't",46,0.000046,0.955087
"ainsley",1,0.000001,0.999002
"ainsworth",1,0.000001,0.999002
"ainu",2,0.000002,0.998004
"air",262,0.000262,0.769719
"air-cel",1,0.000001,0.999002
"air-condit",3,0.000003,0.997008
"air-drift",1,0.000001,0.999002
"air-fram",1,0.000001,0.999002
"air-to-surfac",1,0.000001,0.999002
"airborn",7,0.000007,0.993032
"aircraft",70,0.000070,0.932461
"aircraft'",1,0.000001,0.999002
"airdrop",1,0.000001,0.999002
"airedal",1,0.000001,0.999002
"airfield",11,0.000011,0.989071
"airflow",1,0.000001,0.999002
"airfram",1,0.000001,0.999002
"airi",7,0.000007,0.993032
"airili",2,0.000002,0.998004
"airless",2,0.000002,0.998004
"airlift",1,0.000001,0.999002
"airlin",7,0.000007,0.993032
"airline'",1,0.000001,0.999002
"airlock",1,0.000001,0.999002
"airmail",4,0.000004,0.996012
"airman'",1,0.000001,0.999002
"airmen",1,0.000001,0.999002
"airpark",1,0.000001,0.999002
"airplan",21,0.000021,0.979240
"airport",23,0.000023,0.977286
"airspe",1,0.000001,0.999002
"airstrip",3,0.000003,0.997008
"airway",6,0.000006,0.994024
"aisl",6,0.000006,0.994024
"aj",118,0.000118,0.888804
"aja",1,0.000001,0.999002
"ajar",2,0.000002,0.998004
"ajb",1,0.000001,0.999002
"akin",10,0.000010,0.990060
"akita",1,0.000001,0.999002
"akron",1,0.000001,0.999002
"aku",1,0.000001,0.999002
"al",25,0.000025,0.975335
"al'",2,0.000002,0.998004
"al.",1,0.000001,0.999002
"ala",10,0.000010,0.990060
"ala.",7,0.000007,0.993032
"alabama",22,0.000022,0.978262
"alabaman",1,0.000001,0.999002
"alabamian",1,0.000001,0.999002
"alabast",3,0.000003,0.997008
"alacr",2,0.000002,0.998004
