"word","occurrences","frequency","weight","stem"
"a",23195,0.023171,0.000000,"a"
"aa",1,0.000001,0.999002,"aa"
"aaa",1,0.000001,0.999002,"aaa"
"aaa-ee",1,0.000001,0.999002,"aaa-e"
"aaawww",1,0.000001,0.999002,"aaawww"
"aab/",2,0.000002,0.998004,"aab/"
"aah",1,0.000001,0.999002,"aah"
"aaron",7,0.000007,0.993032,"aaron"
"ab",3,0.000003,0.997008,"ab"
"ab1,040",1,0.000001,0.999002,"ab1,040"
"ab4,500",1,0.000001,0.999002,"ab4,500"
"ab63711-r",1,0.000001,0.999002,"ab63711-r"
"aback",2,0.000002,0.998004,"aback"
"abandon",17,0.000017,0.983161,"abandon"
"abandoned",25,0.000025,0.975335,"abandon"
"abandoning",7,0.000007,0.993032,"abandon"
"abandonment",10,0.000010,0.990060,"abandon"
"abaringe",1,0.000001,0.999002,"abaring"
"abasement",2,0.000002,0.998004,"abas"
"abated",1,0.000001,0.999002,"abat"
"abatuno",1,0.000001,0.999002,"abatuno"
"abbas",2,0.000002,0.998004,"abba"
"abbas's",1,0.000001,0.999002,"abbas'"
"abbe",3,0.000003,0.997008,"abb"
"abbe-direct",1,0.000001,0.999002,"abbe-direct"
"abbe-scotch",1,0.000001,0.999002,"abbe-scotch"
"abberations",1,0.000001,0.999002,"abber"
"abbey",7,0.000007,0.993032,"abbey"
"abbot",2,0.000002,0.998004,"abbot"
"abbott",2,0.000002,0.998004,"abbott"
"abbreviated",1,0.000001,0.999002,"abbrevi"
"abbreviation",1,0.000001,0.999002,"abbrevi"
"abbreviations",1,0.000001,0.999002,"abbrevi"
"abc",2,0.000002,0.998004,"abc"
"abdallah",1,0.000001,0.999002,"abdallah"
"abdomen",6,0.000006,0.994024,"abdomen"
"abdominal",4,0.000004,0.996012,"abdomin"
"abdominis",1,0.000001,0.999002,"abdomini"
"abduction",1,0.000001,0.999002,"abduct"
"abe",3,0.000003,0.997008,"abe"
"abed",1,0.000001,0.999002,"abe"
"abel",20,0.000020,0.980219,"abel"
"abel's",1,0.000001,0.999002,"abel'"
"abell",1,0.000001,0.999002,"abel"
"abelson",1,0.000001,0.999002,"abelson"
"aber",1,0.000001,0.999002,"aber"
"abernathy",2,0.000002,0.998004,"abernathi"
"abernathys",1,0.000001,0.999002,"abernathi"
"aberrant",5,0.000005,0.995018,"aberr"
"aberration",3,0.000003,0.997008,"aberr"
"aberrations",5,0.000005,0.995018,"aberr"
"abetted",4,0.000004,0.996012,"abet"
"abeyance",3,0.000003,0.997008,"abey"
"abhorred",1,0.000001,0.999002,"abhor"
"abhorrent",1,0.000001,0.999002,"abhorr"
"abide",7,0.000007,0.993032,"abid"
"abides",2,0.000002,0.998004,"abid"
"abiding",5,0.000005,0.995018,"abid"
"abigail",2,0.000002,0.998004,"abigail"
"abilene",2,0.000002,0.998004,"abilen"
"abilities",13,0.000013,0.987097,"abil"
"ability",74,0.000074,0.928742,"abil"
"abject",3,0.000003,0.997008,"abject"
"abjection",1,0.000001,0.999002,"abject"
"abjectly",1,0.000001,0.999002,"abjectli"
"ablard",2,0.000002,0.998004,"ablard"
"ablated",1,0.000001,0.999002,"ablat"
"ablation",2,0.000002,0.998004,"ablat"
"ablaze",3,0.000003,0.997008,"ablaz"
"able",216,0.000216,0.805915,"abl"
"abler",2,0.000002,0.998004,"abler"
"ably",2,0.000002,0.998004,"abli"
"abner",1,0.000001,0.999002,"abner"
"abnormal",3,0.000003,0.997008,"abnorm"
"abnormalities",1,0.000001,0.999002,"abnorm"
"abnormally",1,0.000001,0.999002,"abnorm"
"abo",5,0.000005,0.995018,"abo"
"aboard",25,0.000025,0.975335,"aboard"
"abode",4,0.000004,0.996012,"abod"
"abolish",8,0.000008,0.992040,"abolish"
"abolished",2,0.000002,0.998004,"abolish"
"abolition",10,0.000010,0.990060,"abolit"
"abolitionist",1,0.000001,0.999002,"abolitionist"
"abolitionists",4,0.000004,0.996012,"abolitionist"
"aboriginal",1,0.000001,0.999002,"aborigin"
"aborigine",7,0.000007,0.993032,"aborigin"
"aborigines",8,0.000008,0.992040,"aborigin"
"abortion",6,0.000006,0.994024,"abort"
"abortions",1,0.000001,0.999002,"abort"
"abortive",3,0.000003,0.997008,"abort"
"abound",1,0.000001,0.999002,"abound"
"abounded",2,0.000002,0.998004,"abound"
"abounding",1,0.000001,0.999002,"abound"
"abounds",1,0.000001,0.999002,"abound"
"about",1815,0.001813,0.163143,"about"
"about-faced",2,0.000002,0.998004,"about-fac"
"above",296,0.000296,0.744014,"abov"
"above-ground",1,0.000001,0.999002,"above-ground"
"above-mentioned",2,0.000002,0.998004,"above-ment"
"above-noted",1,0.000001,0.999002,"above-not"
"above-water",1,0.000001,0.999002,"above-wat"
"aboveground",2,0.000002,0.998004,"aboveground"
"abra",1,0.000001,0.999002,"abra"
"abraham",6,0.000006,0.994024,"abraham"
"abrams",1,0.000001,0.999002,"abram"
"abrasion-resistant",1,0.000001,0.999002,"abrasion-resist"
"abreaction",2,0.000002,0.998004,"abreact"
"abreast",5,0.000005,0.995018,"abreast"
"abridged",1,0.000001,0.999002,"abridg"
"abridgment",1,0.000001,0.999002,"abridg"
"abroad",51,0.000051,0.950329,"abroad"
"abroade",1,0.000001,0.999002,"abroad"
"abrogated",1,0.000001,0.999002,"abrog"
"abrupt",18,0.000018,0.982179,"abrupt"
"abruptly",18,0.000018,0.982179,"abruptli"
"abruptness",1,0.000001,0.999002,"abrupt"
"abscesses",3,0.000003,0.997008,"abscess"
"abscissa",1,0.000001,0.999002,"abscissa"
"absence",53,0.000053,0.948432,"absenc"
"absences",3,0.000003,0.997008,"absenc"
"absent",28,0.000028,0.972416,"absent"
"absent-minded",3,0.000003,0.997008,"absent-mind"
"absent-mindedly",3,0.000003,0.997008,"absent-mindedli"
"absented",1,0.000001,0.999002,"absent"
"absentee",1,0.000001,0.999002,"absente"
"absenteeism",1,0.000001,0.999002,"absente"
"absentia",1,0.000001,0.999002,"absentia"
"absently",6,0.000006,0.994024,"absent"
"absentmindedly",1,0.000001,0.999002,"absentmindedli"
"absinthe",1,0.000001,0.999002,"absinth"
"absolute",30,0.000030,0.970476,"absolut"
"absolutely",27,0.000027,0.973388,"absolut"
"absoluteness",2,0.000002,0.998004,"absolut"
"absolutes",3,0.000003,0.997008,"absolut"
"absolution",2,0.000002,0.998004,"absolut"
"absorb",13,0.000013,0.987097,"absorb"
"absorbed",24,0.000024,0.976310,"absorb"
"absorbency",1,0.000001,0.999002,"absorb"
"absorber",1,0.000001,0.999002,"absorb"
"absorbing",3,0.000003,0.997008,"absorb"
"absorbs",1,0.000001,0.999002,"absorb"
"absorption",12,0.000012,0.988084,"absorpt"
"absorptions",2,0.000002,0.998004,"absorpt"
"absorptive",1,0.000001,0.999002,"absorpt"
"abstain",1,0.000001,0.999002,"abstain"
"abstaining",1,0.000001,0.999002,"abstain"
"abstention",5,0.000005,0.995018,"abstent"
"abstinence",1,0.000001,0.999002,"abstin"
"abstract",34,0.000034,0.966605,"abstract"
"abstracted",3,0.000003,0.997008,"abstract"
"abstractedness",1,0.000001,0.999002,"abstracted"
"abstracting",3,0.000003,0.997008,"abstract"
"abstraction",16,0.000016,0.984144,"abstract"
"abstractionism",1,0.000001,0.999002,"abstraction"
"abstractionists",3,0.000003,0.997008,"abstractionist"
"abstractions",7,0.000007,0.993032,"abstract"
"abstractive",1,0.000001,0.999002,"abstract"
"abstractly",1,0.000001,0.999002,"abstractli"
"abstractors",1,0.000001,0.999002,"abstractor"
"abstracts",4,0.000004,0.996012,"abstract"
"abstrusenesses",1,0.000001,0.999002,"abstrus"
"absurd",17,0.000017,0.983161,"absurd"
"absurdities",2,0.000002,0.998004,"absurd"
"absurdity",8,0.000008,0.992040,"absurd"
"absurdly",1,0.000001,0.999002,"absurdli"
"abundance",13,0.000013,0.987097,"abund"
"abundant",9,0.000009,0.991050,"abund"
"abundantly",2,0.000002,0.998004,"abundantli"
"abuse",18,0.000018,0.982179,"abus"
"abused",5,0.000005,0.995018,"abus"
"abuses",7,0.000007,0.993032,"abus"
"abusive",1,0.000001,0.999002,"abus"
"abutments",1,0.000001,0.999002,"abut"
"abysmal",2,0.000002,0.998004,"abysm"
"abyss",4,0.000004,0.996012,"abyss"
"abyssinians",1,0.000001,0.999002,"abyssinian"
"acacia",3,0.000003,0.997008,"acacia"
"academeh",1,0.000001,0.999002,"academeh"
"academic",56,0.000056,0.945594,"academ"
"academically",5,0.000005,0.995018,"academ"
"academicianship",1,0.000001,0.999002,"academicianship"
"academics",2,0.000002,0.998004,"academ"
"academies",3,0.000003,0.997008,"academi"
"academy",24,0.000024,0.976310,"academi"
"acadia",1,0.000001,0.999002,"acadia"
"acala",5,0.000005,0.995018,"acala"
"acapulco",1,0.000001,0.999002,"acapulco"
"accacia",4,0.000004,0.996012,"accacia"
"accademia",1,0.000001,0.999002,"accademia"
"accardo",1,0.000001,0.999002,"accardo"
"accede",1,0.000001,0.999002,"acced"
"acceded",1,0.000001,0.999002,"acced"
"accelerate",5,0.000005,0.995018,"acceler"
"accelerated",13,0.000013,0.987097,"acceler"
"accelerating",6,0.000006,0.994024,"acceler"
"acceleration",17,0.000017,0.983161,"acceler"
"accelerations",2,0.000002,0.998004,"acceler"
"accelerator",5,0.000005,0.995018,"acceler"
"accelerators",3,0.000003,0.997008,"acceler"
"accelerometer",17,0.000017,0.983161,"acceleromet"
"accelerometers",8,0.000008,0.992040,"acceleromet"
"accent",9,0.000009,0.991050,"accent"
"accented",3,0.000003,0.997008,"accent"
"accenting",1,0.000001,0.999002,"accent"
"accents",5,0.000005,0.995018,"accent"
"accentual",1,0.000001,0.999002,"accentu"
"accentuate",1,0.000001,0.999002,"accentu"
"accentuated",3,0.000003,0.997008,"accentu"
"accentuates",1,0.000001,0.999002,"accentu"
"accept",72,0.000072,0.930600,"accept"
"acceptability",2,0.000002,0.998004,"accept"
"acceptable",21,0.000021,0.979240,"accept"
"acceptance",49,0.000049,0.952229,"accept"
"accepted",96,0.000096,0.908554,"accept"
"accepting",21,0.000021,0.979240,"accept"
"accepts",6,0.000006,0.994024,"accept"
